dteday,cnt,lag1,diff1,diff2,seasonal1
2011-01-01,985,,,,
2011-01-02,801,985.0,-184.0,,
2011-01-03,1349,801.0,548.0,732.0,
2011-01-04,1562,1349.0,213.0,-335.0,
2011-01-05,1600,1562.0,38.0,-175.0,
2011-01-06,1606,1600.0,6.0,-32.0,
2011-01-07,1510,1606.0,-96.0,-102.0,
2011-01-08,959,1510.0,-551.0,-455.0,
2011-01-09,822,959.0,-137.0,414.0,
2011-01-10,1321,822.0,499.0,636.0,
2011-01-11,1263,1321.0,-58.0,-557.0,
2011-01-12,1162,1263.0,-101.0,-43.0,
2011-01-13,1406,1162.0,244.0,345.0,421.0
2011-01-14,1421,1406.0,15.0,-229.0,620.0
2011-01-15,1248,1421.0,-173.0,-188.0,-101.0
2011-01-16,1204,1248.0,-44.0,129.0,-358.0
2011-01-17,1000,1204.0,-204.0,-160.0,-600.0
2011-01-18,683,1000.0,-317.0,-113.0,-923.0
2011-01-19,1650,683.0,967.0,1284.0,140.0
2011-01-20,1927,1650.0,277.0,-690.0,968.0
2011-01-21,1543,1927.0,-384.0,-661.0,721.0
2011-01-22,981,1543.0,-562.0,-178.0,-340.0
2011-01-23,986,981.0,5.0,567.0,-277.0
2011-01-24,1416,986.0,430.0,425.0,254.0
2011-01-25,1985,1416.0,569.0,139.0,579.0
2011-01-26,506,1985.0,-1479.0,-2048.0,-915.0
2011-01-27,431,506.0,-75.0,1404.0,-817.0
2011-01-28,1167,431.0,736.0,811.0,-37.0
2011-01-29,1098,1167.0,-69.0,-805.0,98.0
2011-01-30,1096,1098.0,-2.0,67.0,413.0
2011-01-31,1501,1096.0,405.0,407.0,-149.0
2011-02-01,1360,1501.0,-141.0,-546.0,-567.0
2011-02-02,1526,1360.0,166.0,307.0,-17.0
2011-02-03,1550,1526.0,24.0,-142.0,569.0
2011-02-04,1708,1550.0,158.0,134.0,722.0
2011-02-05,1005,1708.0,-703.0,-861.0,-411.0
2011-02-06,1623,1005.0,618.0,1321.0,-362.0
2011-02-07,1712,1623.0,89.0,-529.0,1206.0
2011-02-08,1530,1712.0,-182.0,-271.0,1099.0
2011-02-09,1605,1530.0,75.0,257.0,438.0
2011-02-10,1538,1605.0,-67.0,-142.0,440.0
2011-02-11,1746,1538.0,208.0,275.0,650.0
2011-02-12,1472,1746.0,-274.0,-482.0,-29.0
2011-02-13,1589,1472.0,117.0,391.0,229.0
2011-02-14,1913,1589.0,324.0,207.0,387.0
2011-02-15,1815,1913.0,-98.0,-422.0,265.0
2011-02-16,2115,1815.0,300.0,398.0,407.0
2011-02-17,2475,2115.0,360.0,60.0,1470.0
2011-02-18,2927,2475.0,452.0,92.0,1304.0
2011-02-19,1635,2927.0,-1292.0,-1744.0,-77.0
2011-02-20,1812,1635.0,177.0,1469.0,282.0
2011-02-21,1107,1812.0,-705.0,-882.0,-498.0
2011-02-22,1450,1107.0,343.0,1048.0,-88.0
2011-02-23,1917,1450.0,467.0,124.0,171.0
2011-02-24,1807,1917.0,-110.0,-577.0,335.0
2011-02-25,1461,1807.0,-346.0,-236.0,-128.0
2011-02-26,1969,1461.0,508.0,854.0,56.0
2011-02-27,2402,1969.0,433.0,-75.0,587.0
2011-02-28,1446,2402.0,-956.0,-1389.0,-669.0
2011-03-01,1851,1446.0,405.0,1361.0,-624.0
2011-03-02,2134,1851.0,283.0,-122.0,-793.0
2011-03-03,1685,2134.0,-449.0,-732.0,50.0
2011-03-04,1944,1685.0,259.0,708.0,132.0
2011-03-05,2077,1944.0,133.0,-126.0,970.0
2011-03-06,605,2077.0,-1472.0,-1605.0,-845.0
2011-03-07,1872,605.0,1267.0,2739.0,-45.0
2011-03-08,2133,1872.0,261.0,-1006.0,326.0
2011-03-09,1891,2133.0,-242.0,-503.0,430.0
2011-03-10,623,1891.0,-1268.0,-1026.0,-1346.0
2011-03-11,1977,623.0,1354.0,2622.0,-425.0
2011-03-12,2132,1977.0,155.0,-1199.0,686.0
2011-03-13,2417,2132.0,285.0,130.0,566.0
2011-03-14,2046,2417.0,-371.0,-656.0,-88.0
2011-03-15,2056,2046.0,10.0,381.0,371.0
2011-03-16,2192,2056.0,136.0,126.0,248.0
2011-03-17,2744,2192.0,552.0,416.0,667.0
2011-03-18,3239,2744.0,495.0,-57.0,2634.0
2011-03-19,3117,3239.0,-122.0,-617.0,1245.0
2011-03-20,2471,3117.0,-646.0,-524.0,338.0
2011-03-21,2077,2471.0,-394.0,252.0,186.0
2011-03-22,2703,2077.0,626.0,1020.0,2080.0
2011-03-23,2121,2703.0,-582.0,-1208.0,144.0
2011-03-24,1865,2121.0,-256.0,326.0,-267.0
2011-03-25,2210,1865.0,345.0,601.0,-207.0
2011-03-26,2496,2210.0,286.0,-59.0,450.0
2011-03-27,1693,2496.0,-803.0,-1089.0,-363.0
2011-03-28,2028,1693.0,335.0,1138.0,-164.0
2011-03-29,2425,2028.0,397.0,62.0,-319.0
2011-03-30,1536,2425.0,-889.0,-1286.0,-1703.0
2011-03-31,1685,1536.0,149.0,1038.0,-1432.0
2011-04-01,2227,1685.0,542.0,393.0,-244.0
2011-04-02,2252,2227.0,25.0,-517.0,175.0
2011-04-03,3249,2252.0,997.0,972.0,546.0
2011-04-04,3115,3249.0,-134.0,-1131.0,994.0
